,band,tract,patch,fwhm
264,r,2395,64,1.0336308657925757
265,r,2395,65,1.0485536442189214
266,r,2395,66,1.004641892480761
267,r,2395,67,1.0058692767067008
268,r,2395,68,1.0312899204503687
269,r,2395,69,1.0035566604341495
270,r,2395,70,1.0165689469289718
271,r,2395,71,0.993919489140393
272,r,2395,72,0.9974197767970461
273,r,2395,73,1.0047408912703502
274,r,2395,74,1.0086830031195817
275,r,2395,75,1.0338596092101855
276,r,2395,76,1.0319211107283197
277,r,2395,77,1.0330423800941582
278,r,2395,78,1.0381470380976443
279,r,2395,79,1.0114596582731756
280,r,2395,80,1.0149861494175156
281,r,2395,81,1.011290219828955
282,r,2395,82,1.0060912757012366
283,r,2395,83,1.0148511469566355
284,r,2395,84,1.000592668388159
285,r,2395,85,0.9871873943367864
286,r,2395,86,1.0291163284745044
287,r,2395,87,1.0243588111875612
288,r,2395,88,1.0498431950504397
289,r,2395,89,1.0273635176368239
290,r,2395,90,1.0114070871012955
291,r,2395,91,1.004104156391114
292,r,2395,92,1.006816028814632
293,r,2395,93,1.0165621683064285
294,r,2395,94,1.0104945462091504
295,r,2395,95,1.0003194324736764
296,r,2395,96,0.9479972135059742
297,r,2395,97,1.0889050535264313
298,r,2395,98,1.0554978754896867
299,r,2395,99,1.0024873209014344
300,y,2395,0,0.8317137709494586
301,y,2395,1,0.9174751579015527
302,y,2395,2,0.8394898745124135
303,y,2395,3,0.8222735686692254
304,y,2395,4,0.854080110182938
305,y,2395,5,0.8529859743052063
306,y,2395,6,0.8446583740823249
307,y,2395,7,0.8298991691120383
308,y,2395,8,0.8167875456730992
309,y,2395,9,0.8417725427111673
310,y,2395,10,0.8212391788500398
311,y,2395,11,0.8211635536686558
312,y,2395,12,0.8057487871672309
313,y,2395,13,0.8398588795792347
314,y,2395,14,0.8728758367443672
315,y,2395,15,0.8622255217161086
316,y,2395,16,0.852511569710499
317,y,2395,17,0.8585765209369527
318,y,2395,18,0.8942016650400115
319,y,2395,19,0.8520248400868259
320,y,2395,20,0.7595653215622686
321,y,2395,21,0.9200102625451273
322,y,2395,22,0.9115806668161408
323,y,2395,23,0.793070085006174
324,y,2395,24,0.7847422408852336
325,y,2395,25,0.825581799653879
326,y,2395,26,0.8631894742309506
327,y,2395,27,0.8642155031889254
328,y,2395,28,0.8454365319267085
329,y,2395,29,0.855492972654341
330,y,2395,30,0.7109498610312531
331,y,2395,31,0.8233249102117854
332,y,2395,32,0.8683739458458553
333,y,2395,33,0.813030175219746
334,y,2395,34,0.8280403462455634
335,y,2395,35,0.8214277954587083
336,y,2395,36,0.8543647189502797
337,y,2395,37,0.8608463516414725
338,y,2395,38,0.8617438959183557
339,y,2395,39,0.8572120968024198
340,y,2395,40,0.8301801183027216
341,y,2395,41,0.7754483119124694
342,y,2395,42,0.8105688423601551
343,y,2395,43,0.764194056187203
344,y,2395,44,0.8163828574384727
345,y,2395,45,0.8249465047448082
346,y,2395,46,0.8612367948915962
347,y,2395,47,0.8546102184790556
348,y,2395,48,0.8668756086578786
349,y,2395,49,0.8548400164849798
350,y,2395,50,0.8246925565766227
351,y,2395,51,0.8324046687802173
352,y,2395,52,0.8357154136944746
353,y,2395,53,0.8126966688766928
354,y,2395,54,0.8218852571332358
355,y,2395,55,0.8408548570957634
356,y,2395,56,0.8374315611902768
357,y,2395,57,0.8693745069226768
358,y,2395,58,0.8731789431883596
359,y,2395,59,0.8837511728642409
360,y,2395,60,0.7945967345129783
361,y,2395,61,0.7922150907142014
362,y,2395,62,0.9332259796521147
363,y,2395,63,0.8240512322769217
364,y,2395,64,0.8199954453231503
365,y,2395,65,0.8005569365230061
366,y,2395,66,0.8315410238461779
367,y,2395,67,0.8718541641186937
368,y,2395,68,0.8191921611117334
369,y,2395,69,0.8521830390103435
370,y,2395,70,0.78881247292647
371,y,2395,71,0.8151822187173666
372,y,2395,72,0.8446942545925641
373,y,2395,73,0.7952824837524936
374,y,2395,74,0.880511318742748
375,y,2395,75,0.8747299930824586
376,y,2395,76,0.8204314537639812
377,y,2395,77,0.8985691958801818
378,y,2395,78,0.8856079468160014
379,y,2395,79,0.8279909843697015
380,y,2395,80,0.8216419501480656
381,y,2395,81,0.7848534369886377
382,y,2395,82,0.7983866632149215
383,y,2395,83,0.8049380042719095
384,y,2395,84,0.7809573701092567
385,y,2395,85,0.8177905208236629
386,y,2395,86,0.9080311518105582
387,y,2395,87,0.845394487532138
388,y,2395,88,0.886691786179156
389,y,2395,89,0.8497587701969824
390,y,2395,90,0.7434495536188254
391,y,2395,91,0.8411330739368911
392,y,2395,92,0.8471467273359568
393,y,2395,93,0.8040926804325257
394,y,2395,94,0.8688349557070583
395,y,2395,95,0.8591418268614778
396,y,2395,96,0.867204152759053
397,y,2395,97,1.2180932563362097
398,y,2395,98,0.8455629917400405
399,y,2395,99,0.8363248779088827
400,z,2395,0,0.9051539337741117
401,z,2395,1,0.882305860862719
402,z,2395,2,0.8881272760991821
403,z,2395,3,0.881747517978228
404,z,2395,4,0.8813118619249191
405,z,2395,5,0.8990992470761641
406,z,2395,6,0.8906964990114133
407,z,2395,7,0.9087020591741974
408,z,2395,8,0.9223524753450575
409,z,2395,9,0.9245652618402844
410,z,2395,10,0.8971919099588214
411,z,2395,11,0.8835162181301398
412,z,2395,12,0.8831047784789026
413,z,2395,13,0.8850273218886475
414,z,2395,14,0.8877243385189884
415,z,2395,15,0.8852690197673454
416,z,2395,16,0.8903739614762286
417,z,2395,17,0.9123522470388397
418,z,2395,18,0.9304451930648174
419,z,2395,19,0.8697569430717951
420,z,2395,20,0.8993843867094409
421,z,2395,21,0.888226692274712
422,z,2395,22,0.888226319125449
423,z,2395,23,0.8859717445803567
424,z,2395,24,0.8863311350432911
425,z,2395,25,0.895542852556996
426,z,2395,26,0.8890295465700575
427,z,2395,27,0.8948683796075493
428,z,2395,28,0.9070878584922654
429,z,2395,29,0.9011929662493716
430,z,2395,30,0.8620881824946874
431,z,2395,31,0.8854044051927344
432,z,2395,32,0.8758013775245731
433,z,2395,33,0.8930313884223416
434,z,2395,34,0.8797989977652672
435,z,2395,35,0.883206765957867
436,z,2395,36,0.8936767591296733
437,z,2395,37,0.8868533142230958
438,z,2395,38,0.9013258922717825
439,z,2395,39,0.8965305220021249
440,z,2395,40,0.9024323142063063
441,z,2395,41,0.8732710904064928
442,z,2395,42,0.8753277837398852
443,z,2395,43,0.8811216123362892
444,z,2395,44,0.8637797389416552
445,z,2395,45,0.8828323703598834
446,z,2395,46,0.8653279781048426
447,z,2395,47,0.9052357801362917
448,z,2395,48,0.906154362089313
449,z,2395,49,0.90131048329235
450,z,2395,50,0.9023009779748654
451,z,2395,51,0.8832426431673339
452,z,2395,52,0.8551228058996785
453,z,2395,53,0.8835121396801408
454,z,2395,54,0.8742459455740808
455,z,2395,55,0.8660868358577978
456,z,2395,56,0.8788495374234722
457,z,2395,57,0.896275762088571
458,z,2395,58,0.9192352023850137
459,z,2395,59,0.880856158277741
460,z,2395,60,0.9023034331839682
461,z,2395,61,0.9076946941475144
462,z,2395,62,0.8721239256833093
463,z,2395,63,0.8640298210449112
464,z,2395,64,0.8646304141981385
465,z,2395,65,0.8562646639127046
466,z,2395,66,0.8845281282049667
467,z,2395,67,0.8875613489822483
468,z,2395,68,0.8915626177494332
469,z,2395,69,0.9148686105856143
470,z,2395,70,0.8942730169480004
471,z,2395,71,0.880227656967997
472,z,2395,72,0.8671149748732291
473,z,2395,73,0.8697646130153773
474,z,2395,74,0.8586010196316842
475,z,2395,75,0.8581929996405931
476,z,2395,76,0.8699284943116536
477,z,2395,77,0.8791737303463578
478,z,2395,78,0.9032682626638927
479,z,2395,79,0.9219248210070673
480,z,2395,80,0.9017139206434541
481,z,2395,81,0.8947691651250387
482,z,2395,82,0.879778686461588
483,z,2395,83,0.8597882815966185
484,z,2395,84,0.8521560436414257
485,z,2395,85,0.8415261027371334
486,z,2395,86,0.8640836458331687
487,z,2395,87,0.8852681000565797
488,z,2395,88,0.9088219564293845
489,z,2395,89,0.9141951907098428
490,z,2395,90,0.9086690793234706
491,z,2395,91,0.8981880006110439
492,z,2395,92,0.8922044055684384
493,z,2395,93,0.8905252339984986
494,z,2395,94,0.869368293064468
495,z,2395,95,0.88255357172715
496,z,2395,96,0.8659095228303815
497,z,2395,97,0.8830815314771835
498,z,2395,98,0.9012227542757922
499,z,2395,99,0.8959878304463779
